kind,path,date,exists,readable,rows,has_ts_ms,mismatch_rows,ts_ms_mismatch_rows,min_ts,max_ts,min_ts_ms,max_ts_ms,error
tick,data/parquet/tick/MNQ/20250926.parquet,2025-09-26,True,True,1330358,True,0,0,2025-09-26 00:00:00.022000,2025-09-26 20:59:58.679000,1758844800022,1758920398679,
depth,data/parquet/depth/MNQ/20250927.parquet,2025-09-27,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20250927.parquet,2025-09-27,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20250928.parquet,2025-09-28,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20250928.parquet,2025-09-28,True,True,30098,True,0,0,2025-09-28 22:00:00,2025-09-28 23:59:59.567000,1759096800000,1759103999567,
depth,data/parquet/depth/MNQ/20250929.parquet,2025-09-29,True,True,15179707,True,0,0,2025-09-29 14:05:41.478000,2025-09-29 23:59:59.933000,1759154741478,1759190399933,
tick,data/parquet/tick/MNQ/20250929.parquet,2025-09-29,True,True,1055068,True,0,0,2025-09-29 00:00:00.031000,2025-09-29 23:59:59.563000,1759104000031,1759190399563,
depth,data/parquet/depth/MNQ/20250930.parquet,2025-09-30,True,True,20796630,True,0,0,2025-09-30 00:00:00.006000,2025-09-30 23:44:45.635000,1759190400006,1759275885635,
tick,data/parquet/tick/MNQ/20250930.parquet,2025-09-30,True,True,1246178,True,0,0,2025-09-30 00:00:00.036000,2025-09-30 23:59:59.554000,1759190400036,1759276799554,
depth,data/parquet/depth/MNQ/20251001.parquet,2025-10-01,True,True,10064368,True,0,0,2025-10-01 06:00:51.630000,2025-10-01 20:57:47.109000,1759298451630,1759352267109,
tick,data/parquet/tick/MNQ/20251001.parquet,2025-10-01,True,True,1094478,True,0,0,2025-10-01 00:00:00.026000,2025-10-01 23:59:59.586000,1759276800026,1759363199586,
depth,data/parquet/depth/MNQ/20251002.parquet,2025-10-02,True,True,18424663,True,0,0,2025-10-02 01:25:28.620000,2025-10-02 23:59:59.989000,1759368328620,1759449599989,
