date,trades,win_rate,total_pnl,avg_pnl
20251103,0,0.0,0,0.0
20251104,0,0.0,0,0.0
20251105,0,0.0,0,0.0
20251106,0,0.0,0,0.0
20251107,0,0.0,0,0.0
