trades_taken,win_rate,net_pnl,pnl_per_trade,edge,total_commissions,method,model
79508,0.4322332343915078,310266.64,3.902332343915078,0.3902332343915078,33393.36,individual,lstm
79508,0.4322332343915078,310266.64,3.902332343915078,0.3902332343915078,33393.36,individual,cv_lstm_avg
79508,0.4322332343915078,310266.64,3.902332343915078,0.3902332343915078,33393.36,blending,optimal_weights
78302,0.4339225051722817,306883.16000000003,3.919225051722817,0.3919225051722817,32886.84,stacking,neural_network
63296,0.4451940091001011,255205.68,4.031940091001011,0.4031940091001011,26584.32,blending,rank_averaging
3373,0.8490957604506374,27223.34,8.070957604506374,0.8070957604506374,1416.6599999999999,blending,confidence_weighted
3043,0.8918830101873152,25861.94,8.498830101873152,0.8498830101873152,1278.06,individual,lightgbm
