threshold,trades_taken,win_rate,net_pnl,pnl_per_trade,edge,total_commissions,model,position_sizing
0.3,44868,0.17096817330837122,57865.44,1.2896817330837123,0.12896817330837124,18844.559999999998,lstm,fixed
0.35,42176,0.17040496965098634,54156.08,1.2840496965098636,0.12840496965098636,17713.92,lstm,fixed
0.39999999999999997,38917,0.17023408793072436,49904.86,1.2823408793072437,0.12823408793072438,16345.14,lstm,fixed
0.3,35964,0.171338004671338,46515.12,1.29338004671338,0.129338004671338,15104.88,cv_lstm,fixed
0.3,35693,0.17048160703779452,45858.94,1.2848160703779454,0.12848160703779454,14991.06,lstm,confidence
0.44999999999999996,35250,0.1687659574468085,44685.0,1.2676595744680852,0.12676595744680852,14805.0,lstm,fixed
0.3,33350,0.17316341829085458,43743.0,1.3116341829085458,0.1311634182908546,14007.0,ensemble_median,fixed
0.35,33001,0.16972212963243538,42149.58,1.2772212963243539,0.1277221296324354,13860.42,lstm,confidence
0.35,32593,0.17120240542447765,42110.94,1.2920240542447765,0.12920240542447764,13689.06,cv_lstm,fixed
0.35,30711,0.17247891634919085,40071.380000000005,1.3047891634919087,0.13047891634919084,12898.619999999999,ensemble_median,fixed
0.49999999999999994,31058,0.16810483611307875,39165.64,1.2610483611307874,0.12610483611307877,13044.359999999999,lstm,fixed
0.3,29941,0.1721051401088808,38954.78,1.301051401088808,0.1301051401088808,12575.22,cv_lstm,confidence
0.39999999999999997,29723,0.17181980284628065,38586.34,1.2981980284628065,0.12981980284628064,12483.66,cv_lstm,fixed
0.39999999999999997,29742,0.16942371057763433,37898.36,1.2742371057763433,0.12742371057763435,12491.64,lstm,confidence
0.39999999999999997,28086,0.17328918322295805,36873.880000000005,1.3128918322295808,0.13128918322295807,11796.119999999999,ensemble_median,fixed
0.3,27011,0.1732257228536522,35445.380000000005,1.3122572285365224,0.1312257228536522,11344.619999999999,ensemble_median,confidence
0.44999999999999996,26785,0.17192458465559082,34800.3,1.2992458465559082,0.1299245846555908,11249.699999999999,cv_lstm,fixed
0.35,26570,0.1720361309747836,34550.6,1.300361309747836,0.13003613097478361,11159.4,cv_lstm,confidence
0.3,25198,0.17318834828160964,33056.84,1.3118834828160963,0.13118834828160963,10583.16,ensemble_equal_weight,fixed
0.44999999999999996,25253,0.17237555933948442,32923.74,1.3037555933948441,0.13037555933948441,10606.26,ensemble_median,fixed
0.44999999999999996,26075,0.16732502396931928,32678.5,1.2532502396931926,0.12532502396931927,10951.5,lstm,confidence
0.49999999999999994,26075,0.16732502396931928,32678.5,1.2532502396931926,0.12532502396931927,10951.5,lstm,confidence
0.5499999999999999,26075,0.16732502396931928,32678.5,1.2532502396931926,0.12532502396931927,10951.5,lstm,fixed
0.5499999999999999,26075,0.16732502396931928,32678.5,1.2532502396931926,0.12532502396931927,10951.5,lstm,confidence
0.35,24372,0.17236993270966683,31773.760000000002,1.3036993270966684,0.13036993270966685,10236.24,ensemble_median,confidence
0.49999999999999994,23838,0.17304304052353386,31238.04,1.3104304052353386,0.13104304052353388,10011.96,cv_lstm,fixed
0.39999999999999997,23700,0.17291139240506329,31026.0,1.3091139240506329,0.13091139240506328,9954.0,cv_lstm,confidence
0.49999999999999994,22279,0.1727187037120158,29122.82,1.307187037120158,0.13071870371201583,9357.18,ensemble_median,fixed
0.39999999999999997,21747,0.1734032280314526,28576.260000000002,1.3140322803145261,0.1314032280314526,9133.74,ensemble_median,confidence
0.3,21511,0.17386453442424807,28365.38,1.3186453442424806,0.13186453442424806,9034.619999999999,ensemble_weighted_lgb_favor,fixed
0.3,21346,0.17099222336737563,27534.68,1.2899222336737561,0.12899222336737565,8965.32,ensemble_equal_weight,confidence
0.44999999999999996,20762,0.1732010403622002,27239.96,1.3120104036220017,0.1312010403622002,8720.039999999999,cv_lstm,confidence
0.49999999999999994,20762,0.1732010403622002,27239.96,1.3120104036220017,0.1312010403622002,8720.039999999999,cv_lstm,confidence
0.5499999999999999,20762,0.1732010403622002,27239.96,1.3120104036220017,0.1312010403622002,8720.039999999999,cv_lstm,fixed
0.5499999999999999,20762,0.1732010403622002,27239.96,1.3120104036220017,0.1312010403622002,8720.039999999999,cv_lstm,confidence
0.3,19517,0.1727212174002152,25512.86,1.307212174002152,0.1307212174002152,8197.14,ensemble_weighted_lgb_favor,confidence
0.5999999999999999,19547,0.1682611142374789,24680.260000000002,1.262611142374789,0.12626111423747888,8209.74,lstm,fixed
0.5999999999999999,19547,0.1682611142374789,24680.260000000002,1.262611142374789,0.12626111423747888,8209.74,lstm,confidence
0.44999999999999996,18914,0.17220048641218144,24626.12,1.3020048641218145,0.13020048641218146,7943.88,ensemble_median,confidence
0.49999999999999994,18914,0.17220048641218144,24626.12,1.3020048641218145,0.13020048641218146,7943.88,ensemble_median,confidence
0.5499999999999999,18914,0.17220048641218144,24626.12,1.3020048641218145,0.13020048641218146,7943.88,ensemble_median,fixed
0.5499999999999999,18914,0.17220048641218144,24626.12,1.3020048641218145,0.13020048641218146,7943.88,ensemble_median,confidence
0.35,17748,0.175850800090151,23755.84,1.33850800090151,0.133850800090151,7454.16,ensemble_equal_weight,fixed
0.5999999999999999,17213,0.1713820949282519,22270.54,1.293820949282519,0.12938209492825192,7229.46,cv_lstm,fixed
0.5999999999999999,17213,0.1713820949282519,22270.54,1.293820949282519,0.12938209492825192,7229.46,cv_lstm,confidence
0.5999999999999999,14906,0.17134039983899102,19279.48,1.2934039983899102,0.12934039983899104,6260.5199999999995,ensemble_median,fixed
