subset,num_features,win_rate,net_pnl,trades_taken,edge
consensus_2plus,37,0.20833333333333334,39.92,24,0.16633333333333333
mutual_info,20,0.23076923076923078,24.54,13,0.1887692307692308
correlation,41,0.11538461538461539,19.08,26,0.0733846153846154
consensus_3plus,14,0.14285714285714285,7.0600000000000005,7,0.10085714285714285
random_forest,20,0.0,-2.1,5,-0.041999999999999996
lasso,31,0.0,-8.82,21,-0.041999999999999996
